Tolomeo Valentini
Ivone Amoroso
Zenebio Cirelli
Demostene Giannone
Ferruccio Cataldo
Ippocrate Totaro
Giusto Pierro
Cecilio De Chiara
Corrado Fiore
Nestore Ippolito
Leonzio Fucci
Corrado Toto
Cuniberto Latini
Bindo Orlandi
Gervasio Ferrero
Bellino Distefano
Elio Pacifico
Settimo Zordan
Arnaldo Bianchetti
Giovenzio Pizzo
Cecco Cosentino
Giovenzio Bortot
Galeazzo Valentini
Bino Villani
Corrado Miglio
Meneo Montalto
Giuseppe Bergamini
Fidenziano Scalia
Nestore Evangelista
Plutarco Mazzotta
Valter Duca
Bruno Mauri
Maffeo Grimaldi
Rolando Giudice
Mancio Cantagallo
Vidone Di Giovanni
Saladino Marconi
Tulliano Iannone
Michele De Palma
Cecco Carosi
Ignazio Berto
Crescente Di Salvo
Romano Biasci
Bruto Sardina
Pierluigi Pisu
Gaudino Passuello
Corrado Panico
Marcello Palermo
Simone Fiorini
Zaccheo Baraldi
Telemaco Riccardi
Catullo Forlani
Paciano Novello
Settimo Ferrante
Egidio Cioni
Archippo Salvatore
Gennaro De Giorgio
Gianbattista Fabris
Ulfo Siracusa
Benvenuto Tomasello
Ido Galluzzo
Basilio Fratti
Barbarigo Battisti
Donatello De Filippis
Sinfronio Stigliano
Giordano Pasquini
Girardo Berto
Perseo Bernardi
Girolamo Rucco
Aiace Dal Farra
Domezio Margiotta
Temistocle Loi
Zena Ross
Ranolfo Zeni
Robaldo Franchi
Rocco Leone
Averardo Mastrogiacomo
Elita Grosso
Remondo Silenzi
Fuscolo Berti
Bonifacio De Vito
Fabrizio Redaelli
Otello Traverso
Enecone Napoli
Sinesio Gennaro
Accursio Marcucci
Pancrazio Marrone
Famiano Lamacchia
Pancario Denti
Reginaldo Bonato
Vindonio Marino
Neopolo Cristiano
Antelmo Cacciapuoti
Vitale D'Ambrosio
Leonio Pozzi
Eleuterio Moroni
Arcadio Palmisani
Gaio Santoni
Maggiorino Brizzi
Silverio Murolo
Giadero Fantini
Benvenuto Basso
Bonagiunta Scarano
Neoterio Castaldo
Livino Piccinini
Peleo De Meo
Porziano Frigo
Gumesindo Alcamo
Onorio Barsotti
Mosè Ierardi
Nicarete Vezzoli
Tazio Bosi
Aristotele Ferrigno
Oscar Militello
Gherardo Scuderi
Muziano Giuliani
Fazio Massa
Metrofane Tallarico
Maurilio De Gregorio
Bortolo Sacco
Nino Daniele
Lautone Cardinali
Piermarco D'Errico
Platone Modica
Barbarigo De Giorgi
Zabedeo Cavallari
Giacinto Serr
Egisto Luppi
Fosco Deiana
Sapiente Tirri
Cosimo De Stefano
Demetrio Cozzani
Lisandro Miccoli
Cleonico Butera
Rosario Lamberti
Bastiano De Rosa
Narsete Ferrarini
Erico Gullì
Gianuario Lolli
Demetrio Stabile
Muziano Bressan
Ildefonso Capponi
Valerico Cerrani
Valfredo Locatelli
Coreno Olivi
Generoso Fiore
Argimiro Crippa
Senofonte Gennaro
Alessandro Solinas
Amelio Bianc
Cirino Visani
Salvo Battisti
Cesare Candela
Rinaldo Schettino
Bardomiano Todaro
Adelchi Gigliotti
Ansovino Bernardini
Brancaleone De Feo
Ernesto Murtas
Efisio Colombo
Sidonio Sasso
Mauro Daidone
Ultimo Amici
Domenico Galante
Eraldo Nardi
Fulberto Lanteri
Marolo Salis
Raimondo Romagnoli
Nicea Piccolo
Barsaba Malagoli
Eraclide Scala
Cirillo Santarelli
Salvatore Sacchi
Adeodato Guerriero
Gaudenzio Falcone
Gustavo Genna
Vittore Giacalone
Delfino Fini
Averardo Anelli
Omar Cappello
Cirillo Santo
Rinaldo Tommasi
Marzio Signorile
Sandro Garavaglia
Cirillo Nicolò
Fermo Cucciniello
Liberio Chirico
Virone Pica
Arduino Fabbro
Angelo Ancona
Baldovino Renzi
Tulliano Reale
Cassio Faraone
Gianmaria Rigoni
Clarenzio Pecorella
Colmazio Cerri
Amatore Cherchi
Franco Arcangeli
Oronzo Di Martino
Piero Marziali
Namazio Salamone
Panfilo Signorini
Adelberto Bonetti
Bonaventura Liuzzi
Edilberto Sassi
Vilfredo Maragno
Paterniano Paradiso
Siro Padovan
Reginaldo Platania
Acario Secchi
Marciano Cannata
Adalberto Manca
Coronato De Lucia
Catullo Aiello
Alboino Memoli
Leonio Di Franco
Ansaldo Cusimano
Sempronio Artioli
Filomeno Stanzione
Baldomero Puleo
Giuliano Bedini
Gioventino Luzzi
Santo Mascolo
Gionata Bianc
Almiro Mautone
Ambrogio Marcelli
Melchiorre Nardi
Almiro Maggiani
Rodiano Silenzi
Stanislao Marcelli
Sansone Pedrotti
Guelfo Mordenti
Gaspare Milazzo
Glauco Speranza
Tirone Di Lecce
Lodovico Franceschi
Polidoro Massari
Flavio Giustra
Norberto Gatti
Teodoto Prisco
Adalfredo Verde
Archimede Cavalli
Aristide Sparacino
Ausilio Stanzione
Barsimeo Abbrescia
Calcedonio Ragone
Teobaldo Casadei
Icaro Ferrando
Amabile Iannone
Orenzio Golinelli
Rolfo Francese
Ernesto Molinaro
Amleto Croce
Clinio Beso
Santo Peluso
Pollione Virgilio
Misaele Violi
Aristarco Masi
Bruto Pirrone
Paride Corradini
Girolamo Demurtas
Cleandro Manna
Adelberto Macaluso
Crescenzio D'Amato
Rosario Criscenti
Carmine Zingaretti
Privato Pisu
Maurilio Luppi
Zenaide Di Bella
Amico Recchia
Umile Santo
Sigfrido Martino
Primo Campoli
Alvaro Papini
Pusicio Sorbello
Namazio Antezza
Crispino Brunelli
Walter Mastropietro
Giocondo Franceschini
Enrico Cavriani
Leonardo Orlandi
Gianmarco Baldi
Ansaldo Franco
Fausto Agostini
Ursicio Pica
Colombano Santinelli
Danilo Belvisi
Elvino Rigoni
Tesauro Mancinelli
Teodoro De Stefano
Zaccheo Balzano
Erminio Doro
Nicolò D'Aleo
Girardo Porcu
Aristotele Peaquin
Stanislao Pillitteri
Evandro Iotti
Marzio De Palma
Erenia Fornara
Benvenuto Fabbricatore
Innocenzo Cruciata
Pacomio Mattia
Alighiero Magnani
Amanzio Di Lorenzo
Agazio Marinelli
Teodoto Merlo
Carmine Zumbo
Bino Murolo
Eraclide Mauri
Edmondo Faraci
Luca Paradiso
Coreno Musso
Matroniano Bellotti
Achille Ingrassia
Amatore Pascali
Primo Carbon
Quarto De Blasi
Amos Locci
Speranzio Ferrigno
Tazio Ianni
Costanzo Romeo
Valerio Puglisi
Porziano Fabbro
Antonio Fumarola
Clarenzio Stella
Desiderato Piazza
Vincenzo Cristofaro
Sabino Cantoni
Tosco Fabrizio
Rodolfo Negri
Ciro Balsamo
Ladislao Brambilla
Ramiro De Cicco
Evaristo De Giorgi
Amone Spadaro
Gianuario Murgia
Cesare Bini
Eginardo Ciccarelli
Cesario Pignatelli
Grimaldo Mercuri
Damaso Pece
Indro Marziali
Renato Santamaria
Edilberto Simula
Zoilo Lopez
Algiso Foglia
Alberto Farina
Nicezio Canepa
Divo Bertaccini
Gaetano Tufano
Liberatore Gioacchini
Vincenzo Di Biase
Clinio Rosa
Davino Acquadro
Fiorenzo Colonna
Piermarco Rosset
Sigfrido Degrassi
Vitalico Licata
Arcibaldo Polizzi
Emanuele Lepore
Gerasimo Venezia
Oddone Di Giuseppe
Libero Ciampa
Onofrio Favaro
Nostriano Garifo
Valfredo Pezzi
Gineto Mainardi
Torquato Giorgi
Bortolo Fanelli
Mirko Biancheri
Guiscardo Spizzirri
Leone Crescenzi
Adelmo Florio
Gabriele Falchi
Modesto Pasqua
Eufemio Cerise
Argo Terenzi
Ludano Cottone
Sicuro Garau
Orsino Traini
Gianfranco Marra
Pauside Masucci
Omar Curcio
Franco Ferrari
Boris Tamburini
Fulvio Pagliai
Ilario Brambilla
Vasco Marano
Virgilio Andrisani
Desiderio Rampazzo
Cremenzio Neri
Erasmo Modica
Crocefisso Di Mauro
Zeno Napolitano
Fedele Di Costanzo
Giandomenico Cicatiello
Gosto Gigliotti
Bardomiano Luongo
Elvino Pirrello
Eustorgio Capogna
Brando Gurrieri
Piero Festa
Venceslao Quaglia
Respicio Mastrogiacomo
Piergiorgio Mariani
Aratone Riva
Sinfronio Saporito
Giandomenico Lucarini
Rainaldo Graziano
Malco Bentivoglio
Valeriano Di Dio
Aleandro Megna
Coriolano Giordani
Turi Cappelletti
Vedasto Liuzzi
Euseo Platania
Elogio Venturelli
Corbiniano Postiglione
Igor Mazzei
Pauside Barbieri
Venusto Mauro
Almerigo Cipriano
Antonio Russo
Albino Trovato
Olindo Giacalone
Aris Egger
Apollo Dominici
Daniele Santarsia
Antelmo Martinelli
Cristiano Tortora
Simone Terlizzi
Arminio Carollo
Adalardo Nicotra
Didimo Liberati
Vivaldo Tamburini
Domiziano Di Pasquale
Lavinio Carvelli
Virginio Di Salvo
Genesio Siracusa
Erico Totaro
Piermarco Bucci
Everardo Biancheri
Erminio Murtas
Everardo Correale
Secondo Manti
Leonida Aloi
Ansovino Pizzuti
Giosuele Moscato
Eliano Crippa
Niceforo Degrassi
Marzio Massa
Alessio Prete
Ponzio Caccavo
Senesio Bartolomei
Ferruccio Petrini
Eliodoro Viti
Egeo Landi
Osmondo Sammartano
Abelardo Nocentini
Alviero Pedrazzini
Eustorgio D'Argenio
Lavinio Leopardi
Teodosio Terzi
Luigi Volpi
Pierluigi Piras
Archimede Marzano
Domenico Penzo
Icilio Palermo
Ansovino Piccolo
Cuniberto Piana
Barnaba Gobbi
Pollione Diana
Baldassarre Sabatini
Elio Viale
Ladislao Abbondanza
Aristofane Faraci
Giotto Blanc
Clodomiro Luciano
Ranolfo Iezzi
Terzo Panaro
Evremondo Lo Giudice
Zetico Ballarin
Respicio Fonti
Narciso Iannucci
Egidio Torri
Senofonte Fabbro
Richelmo Pagliuca
Albano Papaleo
Severino Bindi
Berengario Cannella
Pancrazio Fiorentino
Durante Menozzi
Delfino Amabile
Regolo Siciliano
Girardo Romano
Afro Gobbi
Settimo Mencarelli
Marco Locci
Michelangelo Todaro
Giacinto Zunino
Azelio De Falco
Aladino Delle Monache
Gianpietro Tartamella
Venerando Vercesi
Placido Fischetti
Clodoveo Frigo
Pomponio Panaro
Quintilio Manetti
Lieto D'Anna
Cassiano Ricciardi
Ercolano Falcioni
Proteo Moscato
Doriano Luise
Gualtiero Gennaro
Paolo Carloni
Giovanni Sammartano
Nino Fanelli
Sigfrido Chiodi
Ulderico Giachi
Fabiano Pompilio
Evaldo Carraro
Bonavita Cannella
Lidio Conte
Tancredi Tallarico
Cipriano Guastella
Bonito Di Matteo
Mariano Izzi
Saturnino Carrozza
Tarcisio Ross
Ischirione Pasini
Malco Cucciniello
Rodolfo Agnello
Moreno Luppino
Silvano Varriale
Pierluigi Alessandrini
Robaldo Giraudo
Arialdo Pala
Menelao Panza
Gioberto Bassi
Urdino Mazzei
Tullio Trevisan
Macario Abbrescia
Zenobio Pinna
Mirco Tommasi
Agostino Sannino
Eusebio Caterino
Gonzaga Rogolino
Aristofane Ciotti
Verano Petronio
Volfango Salierno
Romero Fichera
Settimo Dutto
Gerasimo Vannini
Gioberto Giusti
Cecilio Muratore
Filiberto Picariello
Girardo Marelli
Gionata Albano
Riccardo Sammartino
Eufronio Balistreri
Cupido Liotta
Sostene Pani
Addo Gaudiano
Biagio Pisani
Erico Giorgio
Attilio Santinelli
Bino Paola
Evremondo Di Somma
Savino Pedroni
Fleano Petito
Colombano Lugli
Gabino Cascio
Plinio Vannini
Tibaldo Gravina
Pollione Balzano
Ladislao Filice
Elifio Tiano
Umberto Spagnolo
Attilio Piredda
Alarico Virgilio
Gionata Barretta
Gerolamo Grieco
Maffeo Tirelli
Ilario Mazzi
Alcino Luise
Nico Tagliabue
Filippo Di Domenico
Berengario Capogna
Ivanoe Manna
Orio Lori
Iacopo Riparbelli
Medardo Occhipinti
Melezio Di Paolo
Danilo Ierardi
Amone Pacifico
Marzio Iandolo
Ardito Sodano
Simone Candido
Piersilvio Muratore
