Giuda Tallarico
Zefiro Milella
Cosma Salvadori
Desiderato Santarsiero
Prisco Barbera
Orlando Croce
Graciliano Fierro
Genesio Ventura
Livio Carnevale
Edgardo Lo Giudice
Eginardo Lorusso
Aresio Musumeci
Nestore Zamboni
Elvezio La Torre
Prisco Rollo
Gineto Critelli
Efisio Degrassi
Clinio Cavallo
Ermes Vezzoli
Sigfrido Cannata
Osmondo Valenza
Vladimiro Fioretti
Uranio Rotolo
Nicezio Cerise
Enrico Grange
Filiberto Mulè
Adelmo Lo Pinto
Alano Ratti
Gennaro Amico
Giacobbe Piazza
Lamberto Pallotta
Tolomeo Rotundo
Silverio Musumeci
Cesare Alcamo
Danilo Milella
Salvo Bianchetti
Maggiorino Sparacino
Fulvio Pau
Erasmo Marcon
Noè Di Somma
Camillo Sabino
Ferdinando Villa
Melezio Calabrò
Tarcisio Spanu
Aiace Zappia
Caio Beso
Regolo Luppi
Mennone D'Elia
Onofrio Pagliuca
Amato Suriano
Nazzaro Fantini
Ferdinando Ferrarini
Remondo La Manna
Vodingo Pagliuca
Manfredo Malaspina
Sigfrido Tofani
Pancrazio Federico
Ivo Lari
Teodoto Simeoni
Maurizio Polese
Ivone Scala
Cirino Conti
Vasco Izzi
Leopardo Ferri
Baldomero Contu
Bartolo Garifo
Icaro Nicolini
Arnaldo Moras
Esuperio La Monica
Benedetto Spina
Francesco Cucciniello
Albrico Calabria
Amone Marangoni
Algiso Mazzi
Archippo Boschetti
Benedetto Termine
Alceo Albanese
Gabriele Agresta
Pellegrino Lolli
Innocenzo Zeni
Barnaba Egger
Vidiano Atzori
Orlando Sorce
Araldo Telesca
Gregorio Puccio
Folco Martines
Parmenio Di Stefano
Ulderico Bortoluzzi
Landolfo Schiavone
Romualdo Fornara
Edilberto Albano
Adriano Spagnuolo
Icaro Cipolletta
Porziano Tolomeo
Quintiliano Piana
Tussio Marano
Neopolo Contu
Pauside Tomasello
Aniceto Croce
Privato Casu
Ascanio Di Dio
Clemente Traverso
Marco Lo Piccolo
Rino Cremona
Adone Puddu
Terenzio Pellegrino
Prospero Mariano
Ursicio Cucchiara
Aniello Pacini
Acilio Aquino
Filiberto Capitani
Orsino Recchia
Tiburzio Granà
Dionisio Castiello
Renato Pellecchia
Samuele Renzi
Petronio Fiorenza
Ariele Saladino
Narsete Venturi
Speranzio Nicastro
Bertolfo Sabino
Evandro Tosi
Rubiano Cacciapuoti
Aloisio Rucco
Remondo Palmeri
Speranzio Morrone
Amando Pisano
Arnaldo Bonini
Sirio Cristiano
Andrea Fazio
Ursicio Moscato
Sante Critelli
Endrigo Genovese
Tarso Marchese
Alberico Nazzaro
Dione Conti
Grimaldo Nicolò
Terzo Porcu
Girolamo Battista
Adriano Puleo
Ursino Troisi
Beato Cammarata
Edmondo Guarnieri
Fermiano Bono
Publio Gagliano
Gautiero Cammarata
Crocefisso Balestra
Crescenzio Paolicelli
Sempronio Capocotta
Fulberto Di Pasquale
Ulderico Di Gaetano
Sabazio Casadio
Cornelio Ottaviani
Aladino Mainardi
Libero Pizzitola
Saladino Crippa
Frontiniano Marega
Ivone Bernabei
Venanzio Alberti
Patroclo Usai
Menelao Palmisano
Paciano Farina
Gumesindo Lucidi
Ecclesio Capecchi
Mansueto Garofalo
Fermiano Saladino
Emiliano Battista
Ulstano Narciso
Tancredi Piscitelli
Cecco Nicoletti
Decimo Crea
Ulderico Lenzi
Evaldo Lazzari
Attilio Orlando
Tranquillo Quinto
Metrofane Benedetti
Furseo Caselli
Almiro Savoia
Metrofane Rota
Mamante Colonna
Gaudenzio Rea
Antimo Pariggiano
Ladislao Moser
Erico Moro
Nicolò Ceccarini
Albrico Lavecchia
Sidonio Peruzzi
Lazzaro Principato
Natale Sacchi
Aleardo Pieri
Soccorso Pastore
Erasmo Di Gregorio
Tiburzio Pavani
Rubiano Casella
Bibiano Egger
Antonello Hofer
Generoso Boi
Mirko Pecoraro
Amabile Nesti
Asimodeo Balsamo
Pupolo Motta
Giovenzio Bonazzi
Ezio Ambrosio
Auberto Furno
Ottone Cortese
Clodoveo Gullì
Taziano Trovato
Zabedeo Salemme
Riccardo Mancini
Virgilio D'Andrea
Corrado Micco
Didimo Ascione
Norberto Ricciardi
Romero Liverani
Spartaco Cristofaro
Achille Casagrande
Federico Pastorino
Famiano Cavallo
Arialdo Flore
Daciano Baiocco
Cuniberto Palmisano
Guiberto Papapietro
Settimio Marciano
Camillo Di Giacomo
Dione Pedrazzini
Ariele Monticelli
Galeazzo Schirru
Diego Bernardi
Nicea Buzzi
Efisio Sabatini
Nicarete Chessari
Ciriaco Bove
Ettore Boscolo
Benigno Milani
Euseo Stabile
Ariosto Argiolas
Argo Gentili
Rocco Crispino
Marcello Monteleone
Audace Contini
Furseo Golinelli
Casto Serena
Beltramo Spagnuolo
Aratone Napoli
Gioele Buongiorno
Ippolito Cerri
Rainaldo Agnello
Tito Satta
Calanico Cusumano
Maccabeo Principato
Olimpio Valli
Colombano Sammartino
Teodoto Marzi
Plutarco Riggi
Edoardo Capocotta
Porfirio Di Giovanni
Prisco Vacca
Aleardo Bevilacqua
Tiburzio Ferraris
Cornelio Macrì
Gillo Lori
Evremondo Orlandi
Auberto Valenti
Armando Nicolini
Gonerio Schifano
Emidio Luchini
Ido Beltrami
Cornelio Sparacino
Antino Renna
Sostene Corrao
Gherardo Natale
Aristeo Borghi
Dionisio Pucci
Giacomo Acquaviva
Taide Fiorelli
Cleandro Bellini
Napoleone Bortot
Bardomiano Palmeri
Albano Giardina
Tiberio Visconti
Iacopone Martorana
Sinfronio Sorbello
Nino Brambilla
Furio Fantozzi
Graziano Adragna
Gualtiero Stabile
Adalberto Santo
Barnaba Malerba
Marcello Poletti
Barnaba Vezzoli
Viscardo Spinelli
Crespignano Desogus
Acacio Dalmasso
Clarenzio Forlani
Niceto Ferrarini
Everardo Zanon
Spano Castellani
Salvo Reale
Michelangelo Riggio
Gianmaria Mancuso
Baldomero Leone
Tarcisio Cattaneo
Evandro Ferrero
Ugo Moretto
Nunzio Amendola
Benito Parente
Beronico Napoli
Evremondo Chiaravalle
Alamanno Bani
Prudenzio Leoncini
Ottavio Acquadro
Muziano Duca
Metello Modica
Armando Cannas
Domezio Fanelli
Tarso Reina
Domezio Politi
Serafino Rosati
Corrado Masiero
Carponio Mauro
Ampelio Loi
Gianluca Restivo
Alceste Prete
Asimodeo Di Iorio
Isacco Semprini
Alighiero Martellucci
Emilio Donato
Amato Addis
Ardito Angeloni
Nicodemo Provenzano
Antonello Baldo
Ventura De Filippo
Ansovino Cardone
Diodoro Napolitano
Tiziano Santarsia
Aronne Lai
Bardomiano Narcisi
Illuminato Luchini
Gianmarco Antonelli
Quintilio Doria
Dodato Grossi
Casimiro Nicosia
Pusicio Santini
Ranolfo Fiorenza
Daciano Bonifazi
Massimo Lovato
Abenzio Murru
Livio Rosselli
Palatino Sodano
Ismaele Scuderi
Abelardo Cruciata
Ruggero Sartori
Salvatore Parrino
Benigno Agostini
Polidoro Montanaro
Medardo Paolucci
Aladino Gentili
Gianluigi Bisio
Guiscardo Demurtas
Coronato Falchi
Costanzo Veronese
Zabedeo Marian
Bonito Colangelo
Radolfo Mauro
Palladio Carnovale
Liberatore Franchi
Pippo Parise
Crocefisso Marcianò
Prisco Narciso
Algiso Corrao
Sabele Pisu
Santo Tripodi
Tristano Mosca
Arrigo Perrone
Erasmo Mattei
Fermiano Farina
Lautone Micheletti
Calogero Pianese
Lieto D'Elia
Valter Azara
Vincenzo Sebastiani
Bartolo Piccione
Orazio Poletti
Viscardo Passarelli
Respicio Zanon
Agesilao Fabrizio
Nicodemo Iorio
Nazario Lodi
Brancaleone Giudice
Melezio Ruggeri
Piero Ferrigno
Abramio Bartolomei
Liberto Lovato
Neoterio Lelli
Illidio Conforti
Orso Paone
Annibale Corsi
Ugolino Mirabella
Pasquale Santucci
Aniello Frezza
Attilano Signorelli
Albino Cortesi
Caino Fini
Michelangelo Mazzocchi
Saul Maltese
Michele Fior
Franco Catalano
Rodolfo Sottile
Abbondanzio Tesi
Giove Capannolo
Ippolito Crepaldi
Manetto Baraldi
Fiorenziano Merlo
Isidoro Di Benedetto
Cassio De Rosa
Gaspare Fazio
Franco Valente
Saffo Carrieri
Panfilo Panzeri
Ubertino Longhi
Ladislao Grassi
Albano Scarpa
Albano Bonanni
Stiriaco Sbrana
Vulpiano Lezzi
Minervino Giacomelli
Bartolomeo Demontis
Biagio Bortolin
Nicodemo Villani
Salvatore Mancuso
Lanfranco Luconi
Ercole Cordioli
Eberardo Foti
Cristoforo Pavani
Turibio Teresi
Gerino Palazzo
Giuseppe Mencarelli
Barsimeo Melandri
Melchiorre Petrini
Prudenzio Franchi
Saturnino Spizzirri
Bonaldo Ferrero
Dante De Palma
Fermo Leo
Gonzaga Giordani
Paride Lari
Quintiliano Tommasi
Albrico Capoccia
Ulberto Sala
Santo Cardone
Eterie De Rosa
Gavino Schiavo
Araldo Sapienza
Sigfrido Margiotta
Vivaldo Righi
Taide Cherchi
Giotto Lo Pinto
Zaccaria Capitani
Amone Petrini
Bruto Cucchiara
Iacopone Demontis
Cuniberto Patanè
Arturo Peruzzi
Dodato Manno
Volfango Lupica
Floriano Aprile
Lino Cammisa
Ulisse Ancona
Roberto D'Alessio
Paterniano Sucera
Elifio Marcovecchio
Cassio Aloi
Neri Papaleo
Massimo Riva
Acacio Angelucci
Tristano Ferraiuolo
Albrico Caiazza
Gerolamo Palazzolo
Acrisio Palmeri
Bardo Taddei
Gianfranco Hofer
Raide Ross
Anselmo Filippi
Nico Gambino
Livio Castellani
Cesario Zagaria
Pompeo Tammaro
Ecclesio Boscolo
Meneo Barbagallo
Coronato Sorbello
Rodrigo Sammartano
Ottaviano D'Avino
Rutilo Lo Iacono
Menardo Paola
Decimo Spiga
Gaglioffo Bellini
Orio Mercuri
Vinebaldo Caccavo
Tibaldo Frasca
Bacco Fancello
Sergio Bove
Pantaleo Artioli
Aleandro Valle
Eufemio Coretti
Divo Ortenzi
Lodovico Indelicato
Macario Bini
Igino Tilotta
Albino Tassi
Berengario Brandi
Fleano Federico
Stiriaco Pezzella
Aidano Vannini
Benvenuto Amoruso
Serafino Morri
Manfredo Pardini
Sabazio Provenzano
Marino Andreoli
Serafino Martellucci
Arialdo La Malfa
Mennone Paradiso
Averardo Parente
Adone Pianigiani
Remigio Viola
Gianfranco Minelli
Evasio Malagoli
Plutarco Stella
Archippo Pianigiani
Bortolo Cecchini
Ivanoe Librizzi
Abramo Baldo
Ismaele Consiglio
Brancaleone Matta
Nazario Pozzo
Querano Tomasi
Donatello Ventimiglia
Agabio Boschetti
Maurizio Tamburini
Democrito Cossu
Senofonte Dionisi
Fermo Lattanzi
Icaro Grilli
Mamante Bindi
Giustiniano Salvatori
Giobbe Fumagalli
Riccardo Cerise
Oderico Morini
Clodoveo Carè
Concetto Massimi
Clodomiro Iannaccone
Bindo Parrinello
Giuseppe Milan
Esuperio Boni
Agenore Pizzimenti
Pauside Raimondo
Tulliano Blasi
Eraldo Pavani
Alviero Amerio
Guerrino Pacifico
Rodiano Faraci
Odorico Elia
Matteo Zanotti
Geremia Pastorino
Damaso Tanzi
Michele Tassinari
Cantidio Frigerio
Tito Gandolfo
Uberto Sini
Cassio Dal Farra
Tiberio De Salvo
Zetico Garifo
Innocente Bacci
Gandolfo Camilli
Porziano Valenza
Democrito Feleppa
Letterio Ventura
Bardo Falcioni
Ivanoe Angeloni
Gordiano Piga
Agrippa Marra
Gino Chiodi
Cosma Bernabei
Arcibaldo Meli
Egidio Di Bella
Ludovico Gullì
Flavio Scopece
Plinio Ostuni
Maurilio Tomasello
Illidio Vaccari
Sico Marano
Barsaba Barone
Vincenzo Todaro
Benigno Luconi
Archimede Boni
Saffo Trevisan
Remo Miccoli
Giona Notaro
Ireneo Mazzi
Filomeno Rosi
Martino Zanelli
Vito Cappiello
Vidone Medici
Neri Miotto
Viviano Cossu
Pierangelo Bonini
Giuda Troisi
Leandro Farina
Plinio Cirelli
Speranzio Lamberti
Proteo Azara
Sarbello Stabile
Ischirione Sini
Piersilvio Girone
Placido Biagetti
Gioele Cucciniello
Endrigo Romanini
Agesilao Mariani
Agamennone Malizia
Arcadio Modica
Eliodoro Desogus
Innocenzo Maio
Adamo Barsotti
Siriano Bernabei
Giovenzio Meloni
Goffredo Brandi
Uguccione Cannas
Gaetano Celli
Manilio Cucchiara
Cosma Silvestri
Pardo Cesaretti
Virone Lamberti
Marino Spagnolo
Alcino Zito
Ermenegildo Narciso
Virone Tallarico
Accursio Perrini
Taziano Scala
Almerigo Malatesta
Tussio Scaglione
Fulvio Cardella
Laurentino Angeli
Adolfo Scopece
Pierangelo Strano
Rainaldo Munaro
Delfino Gori
Iacopone Torre
Guerrino Pieri
Stiliano Mascolo
Gianuario Patrone
Vito Pizzitola
Gomberto Borghi
Secondo Federici
Esuperio Buonomo
Publio Belmonte
Vilfredo Martorana
Senofonte Marras
Gherardo Cappelletti
Federico Villani
Bartolomeo Sasso
Aris Golinelli
Asdrubale Ruotolo
Aris Venturini
Nino Ferrario
Sinfronio Paolillo
Antonio Bonini
Gildo Piccinini
Turibio Paolillo
Paciano Redaelli
Callisto Carlucci
Secondiano Macrì
Fulvio Argiolas
Eufemio Porcari
Procopio Montalto
Endrigo Baroni
Icaro Pili
Elvino Amerio
Clodoveo Musella
Evaldo Menconi
Accursio Rondoni
Gottardo Mazzeo
Gordiano Iazzetta
Piersilvio Crescenzi
Crescenzio Valentini
Prassede Errichiello
Guiscardo Giovannetti
Decimo Giannelli
Mirko Casini
Vespasiano D'Anna
Zabedeo Giorgio
Saffiro Bortoluzzi
Calanico Vicini
Edilberto Campoli
Rainaldo Tavani
Menelao Barile
Pauside Campus
Cirano Candido
Ildebrando Cardia
Elio Giraudo
Fermiano Amerio
Cirino Alivernini
Niceforo Pasquali
Lieto Siciliano
Gianpiero Agresta
Abibo Cicala
Marzio Di Felice
Fidenzio Dante
Eros Guidetti
Stanislao Surace
Gedeone Napolitano
Climaco Terzo
Erardo Fratti
Bruto Pariggiano
Illidio Bacci
Isidoro Schirru
Ulisse Azara
Riccardo Annunziata
Brancaleone Zotti
Frontiniano Ferraris
Nino Simula
Diocleziano Fratti
Beato Ippolito
Moreno Pesaresi
Crespignano Sammartano
Proteo Visani
Eros Valentini
Marciano Lelli
Venusto Filippini
Giosuè Papa
Beronico Chirico
Gualtiero Pasqua
Venusto Riggi
Zenobio Formica
Abele Sucameli
Davide De Rossi
Auberto Pecorella
Clodomiro Lucchese
Adalardo Zucca
Mamante Fois
Boris Maione
Neoterio Paganelli
Mercurio Lolli
Gino Righetti
Cristaldo Blasi
Attilio Gigliotti
Federico Pagani
Golia Ragusa
Ariele Casella
Lieto Morabito
Claudio Cara
Gaio Rogolino
Genziano Zanelli
Calogero Tralli
Valeriano Galluzzo
Tiburzio Moccia
Speranzio Zordan
Antioco Angelucci
Adriano Santilli
Zeno Damiano
Elita Pedone
Giocondo Brignone
Bino Mattei
Sostrato Massimi
Democrito Maniscalco
Lauriano Del Gaudio
Socrate Natali
Rufo Sassano
Danilo Carlotti
Eustosio Siri
Serapione Piscopo
Biagio Messina
Orfeo Rosselli
Gabino Coviello
Acilio Siino
Corbiniano Gigliotti
Fidenzio Petrella
Guiberto Fabrizi
Gioventino Gigli
Peleo Oliviero
Ennio Nicoletti
Giovenzio Masucci
Quasimodo Sammartino
Aurelio Leoncini
Liborio Iotti
Loris Amoruso
Tobia Barletta
Osmondo Schiavo
Arcadio Pezzi
Illidio Sansone
Zenone Marotta
Gianuario Paone
Nicolò Pica
Tibaldo Di Nardo
Saul Dolci
Leandro Parisi
Tiburzio Migliore
Cremenzio Lezzi
Alamanno Favero
Gianluigi Nicotra
Giove Zappalà
Uranio Camilli
Caronte Natali
Demostene Perini
Lapo Mazzoni
Alvise Benvenuti
Albrico Fumarola
Gerino Leonardi
Platone Rondoni
Walter Ambrosio
Rino Papaleo
Fausto Martorana
Semplicio Pandolfi
Cleonico Simeone
Gordiano Quaranta
Bellino Di Mauro
Asterio Novello
Alfio Siciliano
Icaro Lepore
Diego Biasci
Evasio Barletta
Anselmo Lazzari
Ottaviano Cerutti
Ivanoe Colantuono
Ramiro Benetti
Gerardo Bentivoglio
Velio Colantuono
Attila Casagrande
Leonardo Micheletti
Quirino Mascolo
Filiberto Fabbro
Sergio Di Marco
Zaccaria La Monica
Ildebrando Bandini
Bardomiano Lucchesi
Nicezio Fucci
Cipriano Gagliano
Pio Pizzi
Richelmo Merola
Onorio Belotti
Adalfredo Poggio
Giacinto Bionaz
Norberto Falbo
Iago Terenzi
Verulo Longo
Oderico Boi
Eustosio Gaspari
Ermes Fabbro
Giuliano Pierini
Teodoto Toldo
Folco Grimaldi
Gregorio Gamba
Giasone Righetti
Agrippa Fortugno
Furio Antenucci
Paciano Artioli
Argo Cocco
Bonifacio Pavani
Pacomio Vierin
Walter Fasano
Postumio Palermo
Aimone Tortora
Fernando Pinardi
Leonida Pompilio
Fuscolo Frigo
Amerigo Soccorsi
Candido Paoletti
Baldo Donato
Verano Prato
Eustosio De Candido
Crespignano Santo
Agenore Daidone
Natale Masia
Maccabeo Pucci
Verecondo Morri
Gordiano Battaglia
Dagoberto Guidetti
Beato Sacco
Bernardo Cioffi
Abele Renna
Nicolò Solinas
Antonio Lanteri
Melchiorre Gatta
Ezechiele Rucco
Osvaldo Sciacca
Alcibiade Marziali
Adelberto Biccari
Ildebrando Bini
Zosimo Praticò
Sostrato Licata
Mancio Grilli
Basilio Mazzoleno
Venanzio Pesaresi
Egidio Capuano
Tiburzio Ammoscato
Michele Bentivoglio
Bartolo Amadori
Lancilotto Quaglia
Folco Benigni
Desiderato Bandini
Gilberto Saracino
Renzo Crippa
Benigno Rondinone
Callisto Chimenti
Cirillo Pizzitola
Bindo Olivieri
Azelio Santarelli
Agrippa Luppi
Serafino Capone
Sostene Ferraris
Sinfronio Babini
Sarbello Altieri
Melchiorre Martucci
Euseo Faraone
Manetto Motisi
Grimaldo Barbarulo
Quarto Mercurio
Innocenzo Campus
Orso Farella
Maggiorino Cozzani
Adriano Gabriele
Ascanio Giovinazzo
Serviliano Bordoni
Orlando Contini
Frontiniano Di Lascio
Giosuè Bianchini
Davino Cont
Modesto Proietti
Saul Calabria
Ugo Favara
Tammaro Iorio
Pasquale Casali
Arturo Bucci
Vasco Spanò
Benedetto Mastropietro
Genesio Rusciano
Giotto Pischedda
Tazio Galante
Agazio Castellana
Erardo Bruzzone
Olimpio Romagnoli
Ansovino Martelli
Polidoro Piccoli
Giocondo Merli
Bortolo Matranga
Ulstano Penna
Nostriano Fiorentini
Acacio Giannetti
Cataldo Tarantino
Giancarlo Vannini
Giacomo Aramini
Elita Fini
Neri Menegatti
Elia Guarneri
Quinziano Gioacchini
Frido De Rossi
Ignazio Ceccarini
Gautiero Giudice
Aurelio Campagna
Ecclesio Pavani
Colmazio Baldacci
Tito Carosi
Innocenzo Congiu
Renato D'Alessandro
Erasmo Matta
Ovidio Carnevale
Neri Sergi
Fidenzio Cancelliere
Senesio Fabrizio
Iginio Mainardi
Guerrino Lepore
Everardo Anselmi
Giancarlo Dal Farra
Rodolfo Gurrieri
Tussio Genovese
Alberico Petronio
Ampelio Nicosia
Albano Bologna
Cesario Kofler
Quinziano Villani
Rolfo Cammisa
Ambrogio Morandi
Tulliano Salzano
Marolo Iuliano
Pericle Poletti
Carlo Giachi
Amico Galati
Ruggero Maiello
Sirio Carrieri
Massimiliano Marra
Barnaba Paonessa
Bruto Pecora
Eufebio Dionisi
Abenzio Mazzeo
Beato Bellucci
Barsaba Bindi
Venerando Boi
Genziano Sbrana
Doriano Cipolla
Edilberto Magnani
Tizio Serafini
Gavino Paolucci
Maurilio Restivo
Viviano Raniolo
Taide Boscolo
Omero Cipolletta
Ricario Borrelli
Amintore De Lucia
Oliviero Capasso
Verecondo Cerise
Ezio Fortunato
Gastone Di Vita
Gonerio Giugliano
Aiace Romanelli
Omero Denaro
Concetto Cerise
Ciriaco Barone
Cirano Di Fazio
Enecone Di Maria
Pusicio Pandolfi
Cristaldo Ponti
Ivo Zanelli
Fulberto Campanini
Antioco Polese
Antonio Zambon
Giove Savini
Ventura Bocchi
Astianatte Di Palma
Archippo Secchi
Rinaldo Biggi
Petronio Passuello
Elita Monterosso
Pacomio Benetti
Bardo Rizza
Felice Grange
Bino Gamberini
Abramio Penzo
Ariberto Terzi
Lauriano Giovinazzo
Quinziano Signorini
Tibaldo Ranucci
Ivan Greppi
Sico Murgia
Riccardo Pession
Bindo Barone
Gildo Moroni
Aloisio Olivi
Boris Romani
Astianatte Pesce
Nicolò Maione
Donatello Femina
Iacopone Polverino
Tranquillo Briano
Eustorgio Marciano
Illidio Calandro
Abramo Ascione
Secondiano Massaro
Marciano Principato
Umile Guidotti
Edgardo Cappelletti
Cirino Vincenzi
Gaspare Amato
Biagio Zappia
Amando Valle
Albano Greco
Aniello Siragusa
Gabriele Belvisi
Edilberto Troisi
Fidenzio Da Rold
Bonaldo Calò
Genziano Sessa
Ido Daniele
Archippo Murolo
Adelberto Pennestrì
Amelio Carli
Giadero Canale
Amato Menconi
Giancarlo Paradiso
Augusto Di Tommaso
Frido Pianese
Ivone Bertolini
Narsete Vinci
Romero Ragone
Ivo Paradiso
Valtena Argiolas
Baldomero Brandi
Lino Nucci
Gaudino Prete
Adalgiso Caterino
Modesto De Salvo
Flavio Pasquali
Elifio Ferri
Cataldo Feleppa
Aristofane Fabrizio
Caio Veronese
Silvestro Carini
Giovenzio Guerriero
Gosto Biagetti
Liborio Bianco
Gaudenzio Capponi
Rosario Cangiano
Albino Bentivoglio
Afro Zappalà
Ivanoe Alberti
Girardo Cadoni
Ulisse Belvisi
Deodato Deriu
Vodingo Mercurio
Liberto Giordani
Ettore Ferraris
Amelio Caradonna
Aldo Puccio
Giandomenico Marchini
Saul Tilotta
Galileo Calandro
Crocefisso Tornatore
Ippolito Luchini
Almerigo Fazio
Acacio Drago
Paride Cozzolino
Alamanno Tufano
Alviero Montanaro
Gianluigi Litterio
Cleandro Marcianò
Mirko Camilli
Gervasio Duca
Biagio Carollo
Diogene Usai
Cupido Pugliesi
Lamberto Zappia
Crescente Catania
Serapione Pesce
Rolfo Porcu
Cosimo Mosca
Palladio Liverani
Archimede De Vito
Turi Contini
Cupido Piana
Averardo Mattioli
Adamo Milazzo
Plinio Di Bella
Furio Minelli
Agazio Anselmo
Placido Visconti
Tobia Vascotto
Alamanno Ferro
Prassede Baraldi
Apuleio Maugeri
Verecondo Barbarulo
Ciro Antonucci
Gianmarco Mazzotti
Calcedonio Pascarella
Agazio Rossi
Salomone Fioretti
Samuele Lucchese
Coronato Ledda
Mattia Guerra
Grato Mazzola
Renato Corona
Glauco Lamberti
Evasio Benedetto
Emmerico Pini
Libero Montemurro
Ambrogio Del Prete
Valter Chiaravalle
Nicola Pezzi
Giuseppe Di Gregorio
Zaccaria Cantoni
Evandro Notaro
Parmenio Patti
Bardo Fortugno
Camillo Malagoli
Giancarlo Franzè
Adelardo Magi
Bruno Giustra
Damiano Giovinazzo
Eros Zotti
Luciano Paoli
Ippolito Nigro
Volfango Vecchi
Gonerio Panzeri
Ottone Boi
Venustiano Marongiu
Clemente Giuffrida
Antonio Barberis
Giuliano Brogi
Floriano Boi
Alcide Federico
Venerio Abate
Delfino Bellucci
Bino Fantini
Auro Castagna
Bassiano Barile
Ugo Prisco
Zenaide Vitali
Tazio Farris
Abramio Di Benedetto
Romualdo Sanfilippo
Vindonio Piva
Mirco Coretti
Gandolfo Cristofaro
Onesto Paci
Giusto Troisi
Lanfranco Termine
Gillo Totaro
Giambattista Luciano
Giovanni Marino
Sinesio Quinto
Barnaba Diana
Tibaldo Camilli
Pasquale Ianni
Saturniano Tarantino
Bardo Pariggiano
Coronato Russo
Liberio Privitera
Bertolfo Ugolini
Quinziano Fini
Giocondo Petrone
Agabio Cerutti
Franco Triolo
Benedetto Marcucci
Algiso Zuliani
Zaccheo Latini
Sabele Altieri
Ugolino Perotti
Elvezio Grillo
Guglielmo Mora
Sante Bellini
Diodoro Guarnieri
Minervino Riccardi
Valfrido Ammoscato
Corbiniano Carletti
Lapo Sammartano
Lisandro Cont
Ariosto Morandi
Fabio Barbato
Cirillo Padula
Gandolfo Maurizi
Festo Mazzeo
Simone Principato
Uranio Pacifico
Ido Gaudiano
Cupido Toscano
Otello Boscolo
Lieto Quaglia
Ulderico Carollo
Romolo Masala
Agamennone Biasci
Clemente Mariani
Catullo Gasparini
Nicea De Angelis
Leonio Amabile
Efisio Modica
Raffaele Romaniello
Beniamino Zampieri
Damaso Crespi
Gianfranco Cini
Fedele Luchini
Alessandro Perri
Rufino Amato
Ivo Capizzi
Liberio Butera
Lancilotto Puggioni
Pauside Cannone
Zenone Lovato
Gennaro Addis
Dante Aramini
Silvestro Manfredi
Urdino Santarsia
Bartolo Atzori
Erardo Sucera
Urbano Cirelli
Paciano Comito
Apollinare Gigli
Oddone Basso
Arduino Nappi
Galeazzo Gregori
Almiro Moffa
Abelardo Tagliaferri
Orlando Tumbarello
Massimiliano Casu
Enzo Massimi
Tesauro Ferrando
Siriano Lippolis
Algiso Diamanti
Genesio Pedrazzini
Samuele Argenio
Narsete Ermini
Viliberto Saccone
Sosteneo Felici
Gabino Ancona
Livino Alfieri
Nicea Taddei
Candido Casadei
Soccorso Donda
Callisto Mistretta
Cataldo Epifani
Cassiano Marangon
Vespasiano Micco
Adalberto Benedetto
Basileo Maione
Liberatore Giorgi
Parmenio Balducci
Benvenuto Casavecchia
Aniello Cianci
Salomone Nuzzo
Tulliano Atzori
Lamberto Martines
Ramiro Perotti
Erico Siino
Annibale Avola
Celso Biggi
Annibale Lucchese
Auro Sammartino
Adalardo Cerrani
Elpidio Roberti
Desiderio Cavallaro
Cino Di Bari
Eraldo Pedone
Golia Mele
Verenzio Tassinari
Domiziano Memoli
Guerrino Pignatelli
Ermete Frigerio
Teobaldo Morabito
Bacco Rapisarda
Polifemo Femina
Ventura Landi
Amone Rusciano
Gaio Cianci
Melanio Grossi
Neopolo Ferrarotti
Roberto Messana
Glauco Parrinello
Antelmo Rossetti
Emiliano Torchio
Alcide Pisani
Erardo Belmonte
Oscar Cadoni
Amerigo Panico
Verulo Anelli
Nestore Diana
Berardo Valenti
Ulpiano Costanza
Pomponio Toto
Zabedeo Cerutti
Endrigo Boschetti
Rodrigo Santarelli
Aristotele Moffa
Davide Manno
Sirio Tortorici
Zeno Bucci
Addo Cruciani
Spano Cardone
Cirano Pompei
Arturo Capasso
Pantaleo Leoni
Enecone Gallo
Sostrato Del Monte
Ercolano Pisu
Emmerico Dolci
Valentino Barbarossa
Leone Marangon
Venerio Gusmeroli
Santo Parodi
Piersilvio Atzeni
Onofrio Marini
Bonito Marongiu
Ermenegildo Botta
Didimo Finotti
Namazio D'Argenio
Pericle Marangoni
Maurizio Pivetta
Amedeo Romaniello
Narseo Bonomi
Tobia Argento
Robaldo Candido
Romero Cannella
Ferruccio De Giorgi
Tussio Scalise
Antero Bisconti
Severo Prato
Stanislao Simonini
Icaro Guastone
Amabile Fiorentino
Azeglio Nanni
Icilio Gazzola
Eligio Deiana
Malco Conte
Ultimo Mangano
Ecclesio Favero
Iginio Gigli
Graziano Manfredi
Gautiero Medici
Bruto Medugno
Mirco Fazio
Baldomero Pizzi
Romoaldo Panzeri
Taide Stabile
Silvano Cozzani
Cristoforo Pizzo
Aladino Nicosia
Liberatore Esposito
Speranzio Bassi
Viliberto Leoncini
Aloisio Di Franco
Damiano Calafiore
Aristeo Montalto
Ildefonso Cremonesi
Viviano Innocenti
Lidio Martino
Geremia Terenzi
Venanzio Lori
Viliberto Caradonna
Leonio Rusciano
Gomberto Acquaviva
Pierluigi Cristiano
